name,email,phone,companyIndustry,companySize,location,revenue
Entreprise 103,contact@entreprise103.com,0162608909,HEALTHCARE,SMALL,Paris,1537405
Entreprise 104,contact@entreprise104.com,0168243642,HEALTHCARE,MEDIUM,Paris,820409
Entreprise 105,contact@entreprise105.com,0139950349,TECHNOLOGY,LARGE,Paris,448743
Entreprise 106,contact@entreprise106.com,0126883067,FINANCE,SMALL,Paris,4578685
Entreprise 107,contact@entreprise107.com,0180498435,HEALTHCARE,LARGE,Paris,1706581
Entreprise 108,contact@entreprise108.com,0127177744,TECHNOLOGY,MEDIUM,Paris,449754
Entreprise 109,contact@entreprise109.com,0165110436,HEALTHCARE,SMALL,Paris,4430390
Entreprise 110,contact@entreprise110.com,0135395990,TECHNOLOGY,SMALL,Paris,4004831
Entreprise 111,contact@entreprise111.com,0140151371,TECHNOLOGY,MEDIUM,Paris,1058498
Entreprise 112,contact@entreprise112.com,0114326732,TECHNOLOGY,LARGE,Paris,3865051
Entreprise 113,contact@entreprise113.com,0146310506,OTHER,MEDIUM,Paris,674890
Entreprise 114,contact@entreprise114.com,0179916654,OTHER,MEDIUM,Paris,1553857
Entreprise 115,contact@entreprise115.com,0198283256,FINANCE,LARGE,Paris,346236
Entreprise 116,contact@entreprise116.com,0165215012,FINANCE,LARGE,Paris,2623160
Entreprise 117,contact@entreprise117.com,0184088555,EDUCATION,MEDIUM,Paris,2578076
Entreprise 118,contact@entreprise118.com,0199302420,OTHER,LARGE,Paris,423390
Entreprise 119,contact@entreprise119.com,0188483809,FINANCE,LARGE,Paris,560358
Entreprise 120,contact@entreprise120.com,0154439939,FINANCE,LARGE,Paris,689129
